Student_Id,Sub_Type,Enrollment_Date,Cancellation_Date,Inactive,Last_login,Avg_Time_Spent,Satisfaction_Score,Signup_Date,Last_Login_Updated,Enrollment_Date_Updated,Cancellation_Date_Updated
STU052,Basic,5/13/2022,5/13/2023,TRUE,null,28,9,6/5/2022,,5/13/2022,5/13/2023
STU053,Basic,3/20/2022,12/5/2023,TRUE,null,17,8,3/13/2022,,3/20/2022,12/5/2023
STU054,Basic,3/19/2022,11/14/2023,TRUE,null,40,5,12/3/2022,,3/19/2022,11/14/2023
STU055,Basic,2/16/2022,3/11/2023,TRUE,null,25,4,9/2/2022,,2/16/2022,3/11/2023
STU056,Premium,9/15/2022,5/2/2023,TRUE,null,33,9,8/9/2022,,9/15/2022,5/2/2023
STU057,Premium,9/2/2022,6/17/2022,TRUE,null,24,8,2/2/2022,,9/2/2022,6/17/2022
STU058,Basic,5/21/2022,5/26/2023,TRUE,null,41,7,5/14/2022,,5/21/2022,5/26/2023
STU059,Premium,4/7/2022,7/5/2023,TRUE,null,44,9,6/27/2022,,4/7/2022,7/5/2023
STU060,Premium,11/6/2022,11/8/2023,TRUE,null,33,9,4/6/2022,,11/6/2022,11/8/2023
STU061,Basic,9/6/2022,3/26/2023,TRUE,null,40,9,2/6/2022,,9/6/2022,3/26/2023
STU062,Premium,9/8/2022,11/5/2023,TRUE,null,29,1,2/8/2022,,9/8/2022,11/5/2023
STU063,Premium,11/17/2022,3/14/2023,TRUE,null,41,3,10/11/2022,,11/17/2022,3/14/2023
STU064,Premium,10/22/2022,8/17/2023,TRUE,null,31,6,10/15/2022,,10/22/2022,8/17/2023
STU065,Premium,5/10/2022,1/13/2023,TRUE,null,39,1,9/20/2022,,5/10/2022,1/13/2023
STU066,Basic,1/8/2022,6/30/2023,TRUE,null,37,1,7/25/2022,,1/8/2022,6/30/2023
STU067,Basic,3/15/2022,2/10/2023,TRUE,null,13,6,8/3/2022,,3/15/2022,2/10/2023
STU068,Premium,1/15/2022,12/9/2023,TRUE,null,40,7,8/1/2022,,1/15/2022,12/9/2023
STU069,Premium,12/18/2022,1/8/2023,TRUE,null,13,3,11/12/2022,,12/18/2022,1/8/2023
STU070,Premium,11/17/2022,8/22/2023,TRUE,null,40,4,10/11/2022,,11/17/2022,8/22/2023
STU071,Premium,10/10/2022,4/27/2023,TRUE,null,30,4,3/10/2022,,10/10/2022,4/27/2023
STU072,Basic,6/23/2022,7/29/2023,TRUE,null,28,6,6/16/2022,,6/23/2022,7/29/2023
STU073,Basic,11/1/2022,2/6/2023,TRUE,null,34,8,4/1/2022,,11/1/2022,2/6/2023
STU074,Basic,6/5/2022,4/30/2023,TRUE,null,40,6,4/29/2022,,6/5/2022,4/30/2023
STU075,Basic,10/9/2022,4/19/2023,TRUE,null,9,8,1/9/2022,,10/9/2022,4/19/2023
STU076,Basic,8/14/2022,9/8/2023,TRUE,null,37,8,7/8/2022,,8/14/2022,9/8/2023
STU077,Basic,11/22/2022,10/10/2023,TRUE,null,13,7,11/15/2022,,11/22/2022,10/10/2023
STU078,Basic,6/24/2022,1/1/2023,TRUE,null,25,8,6/17/2022,,6/24/2022,1/1/2023
STU079,Premium,8/23/2022,4/9/2023,TRUE,null,17,9,8/16/2022,,8/23/2022,4/9/2023
STU080,Premium,6/23/2022,5/4/2023,TRUE,null,24,6,6/16/2022,,6/23/2022,5/4/2023
STU081,Basic,8/7/2022,11/12/2023,TRUE,null,13,4,1/7/2022,,8/7/2022,11/12/2023
STU082,Premium,6/26/2022,6/19/2023,TRUE,null,33,6,6/19/2022,,6/26/2022,6/19/2023
STU083,Basic,4/17/2022,1/12/2022,TRUE,null,32,8,10/4/2022,,4/17/2022,1/12/2022
STU084,Basic,9/12/2022,1/2/2023,TRUE,null,37,6,2/12/2022,,9/12/2022,1/2/2023
STU085,Basic,2/18/2023,9/19/2024,TRUE,null,12,9,11/2/2023,,2/18/2023,9/19/2024
STU086,Premium,6/19/2023,11/2/2024,TRUE,null,41,8,12/6/2023,,6/19/2023,11/2/2024
STU087,Premium,11/12/2023,7/22/2024,TRUE,null,29,7,4/12/2023,,11/12/2023,7/22/2024
STU088,Premium,8/31/2022,6/11/2022,TRUE,null,21,4,8/16/2022,,8/31/2022,6/11/2022
STU089,Premium,12/17/2023,2/7/2024,TRUE,null,42,9,10/12/2023,,12/17/2023,2/7/2024
STU090,Basic,3/14/2023,2/1/2024,TRUE,null,24,7,7/3/2023,,3/14/2023,2/1/2024
STU091,Basic,6/30/2023,12/14/2024,TRUE,null,41,7,6/23/2023,,6/30/2023,12/14/2024
STU092,Basic,2/10/2023,3/25/2024,TRUE,null,24,9,9/25/2023,,2/10/2023,3/25/2024
STU093,Basic,12/9/2023,10/20/2024,TRUE,null,32,8,5/9/2023,,12/9/2023,10/20/2024
STU094,Premium,1/8/2023,8/27/2024,TRUE,null,27,2,7/25/2023,,1/8/2023,8/27/2024
STU095,Basic,5/18/2023,10/31/2024,TRUE,null,28,6,11/5/2023,,5/18/2023,10/31/2024
STU096,Basic,8/22/2023,5/25/2024,TRUE,null,21,7,8/15/2023,,8/22/2023,5/25/2024
STU097,Premium,4/27/2023,11/29/2024,TRUE,null,12,4,4/20/2023,,4/27/2023,11/29/2024
STU098,Basic,7/29/2023,11/18/2023,TRUE,null,17,5,7/22/2023,,7/29/2023,11/18/2023
STU099,Basic,2/6/2023,7/26/2024,TRUE,null,31,3,5/26/2023,,2/6/2023,7/26/2024
STU100,Basic,3/7/2023,7/13/2024,TRUE,null,42,6,6/26/2023,,3/7/2023,7/13/2024
STU101,Premium,5/25/2023,9/11/2024,TRUE,null,13,9,5/18/2023,,5/25/2023,9/11/2024
STU102,Basic,5/30/2023,6/16/2024,TRUE,null,12,7,5/23/2023,,5/30/2023,6/16/2024
STU103,Premium,9/8/2023,9/2/2024,TRUE,null,43,6,2/8/2023,,9/8/2023,9/2/2024
STU104,Premium,10/18/2022,11/10/2023,TRUE,null,17,9,3/10/2022,,10/18/2022,11/10/2023
STU105,Basic,1/27/2023,11/21/2024,TRUE,null,29,6,1/20/2023,,1/27/2023,11/21/2024
STU106,Basic,4/30/2023,9/13/2024,TRUE,null,14,6,4/23/2023,,4/30/2023,9/13/2024
STU107,Basic,7/22/2023,2/6/2024,TRUE,null,24,9,7/15/2023,,7/22/2023,2/6/2024
STU108,Basic,10/10/2023,5/2/2024,TRUE,null,15,6,3/10/2023,,10/10/2023,5/2/2024
STU109,Basic,1/5/2023,5/3/2024,TRUE,null,28,6,4/24/2023,,1/5/2023,5/3/2024
STU110,Basic,4/9/2023,6/20/2024,TRUE,null,26,8,8/28/2023,,4/9/2023,6/20/2024
STU111,Premium,3/14/2022,9/28/2022,TRUE,null,45,8,7/3/2022,,3/14/2022,9/28/2022
STU112,Basic,5/10/2023,1/4/2024,TRUE,null,45,5,9/28/2023,,5/10/2023,1/4/2024
STU113,Basic,11/12/2023,10/3/2024,TRUE,null,35,8,4/12/2023,,11/12/2023,10/3/2024
STU114,Basic,6/19/2023,2/27/2024,TRUE,null,13,1,12/6/2023,,6/19/2023,2/27/2024
STU115,Premium,12/16/2023,10/29/2024,TRUE,null,40,8,9/12/2023,,12/16/2023,10/29/2024
STU116,Premium,10/21/2022,5/20/2023,TRUE,null,13,6,12/10/2022,,10/21/2022,5/20/2023
STU117,Basic,6/9/2023,1/26/2024,TRUE,null,24,9,8/30/2023,,6/9/2023,1/26/2024
STU118,Premium,2/19/2023,6/11/2024,TRUE,null,24,3,12/2/2023,,2/19/2023,6/11/2024
STU119,Basic,10/17/2023,6/8/2024,TRUE,null,17,1,10/10/2023,,10/17/2023,6/8/2024
STU120,Basic,6/3/2023,2/2/2024,TRUE,null,26,6,2/27/2023,,6/3/2023,2/2/2024
STU121,Premium,8/14/2022,8/23/2023,TRUE,null,13,7,7/8/2022,,8/14/2022,8/23/2023
STU122,Premium,2/26/2022,8/25/2022,TRUE,null,19,1,2/19/2022,,2/26/2022,8/25/2022
STU123,Premium,8/8/2022,5/24/2023,TRUE,null,15,7,1/8/2022,,8/8/2022,5/24/2023
STU124,Basic,11/18/2023,2/13/2024,TRUE,null,44,9,3/11/2023,,11/18/2023,2/13/2024
STU125,Basic,3/22/2023,7/9/2024,TRUE,null,35,7,7/3/2023,,3/22/2023,7/9/2024
STU126,Premium,10/20/2023,1/7/2024,TRUE,null,28,1,5/10/2023,,10/20/2023,1/7/2024
STU127,Basic,3/14/2023,10/28/2024,TRUE,null,23,8,2/27/2023,,3/14/2023,10/28/2024
STU128,Basic,5/10/2023,9/10/2024,TRUE,null,32,8,9/20/2023,,5/10/2023,9/10/2024
STU129,Basic,2/27/2023,6/25/2024,TRUE,null,23,1,12/2/2023,,2/27/2023,6/25/2024
STU130,Premium,5/6/2023,11/24/2024,TRUE,null,15,8,5/21/2023,,5/6/2023,11/24/2024
STU131,Premium,1/30/2022,5/18/2023,TRUE,null,42,2,1/23/2022,,1/30/2022,5/18/2023
STU132,Premium,7/9/2022,6/3/2023,TRUE,null,14,1,8/29/2022,,7/9/2022,6/3/2023
STU133,Premium,7/22/2022,12/16/2023,TRUE,null,15,9,7/15/2022,,7/22/2022,12/16/2023
STU134,Basic,5/13/2023,5/24/2024,TRUE,null,26,7,4/28/2023,,5/13/2023,5/24/2024
STU135,Premium,12/5/2023,11/12/2024,TRUE,null,36,7,4/27/2023,,12/5/2023,11/12/2024
STU136,Premium,11/14/2023,4/27/2024,TRUE,null,43,7,10/30/2023,,11/14/2023,4/27/2024
STU137,Premium,3/11/2023,10/26/2024,TRUE,null,14,7,10/19/2023,,3/11/2023,10/26/2024
STU138,Basic,6/17/2023,2/4/2024,TRUE,null,31,5,2/6/2023,,6/17/2023,2/4/2024
STU139,Premium,10/26/2022,11/18/2023,TRUE,null,40,1,10/17/2022,,10/26/2022,11/18/2023
STU140,Basic,5/26/2023,6/11/2024,TRUE,null,23,9,11/5/2023,,5/26/2023,6/11/2024
STU141,Premium,6/8/2022,7/10/2022,TRUE,null,21,6,7/30/2022,,6/8/2022,7/10/2022
STU142,Premium,12/19/2022,5/30/2023,TRUE,null,37,7,12/12/2022,,12/19/2022,5/30/2023
STU143,Basic,7/5/2023,8/15/2024,TRUE,null,33,7,4/22/2023,,7/5/2023,8/15/2024
STU144,Premium,11/12/2022,8/2/2023,TRUE,null,28,9,2/12/2022,,11/12/2022,8/2/2023
STU145,Premium,8/4/2022,7/22/2023,TRUE,null,34,7,1/4/2022,,8/4/2022,7/22/2023
STU146,Basic,3/26/2023,10/3/2024,TRUE,null,37,5,11/3/2023,,3/26/2023,10/3/2024
STU147,Basic,2/18/2023,1/22/2024,TRUE,null,26,6,3/2/2023,,2/18/2023,1/22/2024
STU148,Basic,6/19/2023,10/5/2024,TRUE,null,30,7,4/6/2023,,6/19/2023,10/5/2024
STU149,Premium,7/14/2023,3/2/2024,TRUE,null,22,6,2/27/2023,,7/14/2023,3/2/2024
STU150,Basic,5/27/2024,6/15/2024,TRUE,null,40,9,5/22/2024,,5/27/2024,6/15/2024
STU151,Premium,10/30/2022,3/7/2023,TRUE,null,38,3,10/23/2022,,10/30/2022,3/7/2023
STU152,Basic,12/17/2023,11/4/2024,TRUE,null,41,8,2/12/2023,,12/17/2023,11/4/2024
STU153,Basic,3/11/2023,6/14/2024,TRUE,NULL,14,6,8/19/2022,,3/11/2023,6/14/2024
STU154,Premium,10/2/2022,8/31/2023,TRUE,NULL,19,7,3/2/2022,,10/2/2022,8/31/2023
STU155,Basic,12/28/2022,6/19/2023,TRUE,NULL,31,9,6/21/2022,,12/28/2022,6/19/2023
STU156,Basic,2/5/2022,5/3/2023,TRUE,NULL,45,7,4/25/2022,,2/5/2022,5/3/2023
STU157,Free,null,null,FALSE,7/31/2023,30,8,11/2/2023,7/31/2023,,
STU158,Premium,3/20/2023,10/17/2023,TRUE,NULL,27,1,5/3/2023,,3/20/2023,10/17/2023
STU159,Basic,11/5/2022,4/18/2023,TRUE,NULL,28,8,4/26/2022,,11/5/2022,4/18/2023
STU160,Basic,4/19/2022,8/28/2022,TRUE,NULL,39,9,4/4/2022,,4/19/2022,8/28/2022
STU161,Basic,4/22/2022,1/25/2023,TRUE,NULL,14,6,7/4/2022,,4/22/2022,1/25/2023
STU162,Free,null,null,FALSE,8/5/2023,38,6,3/14/2023,8/5/2023,,
STU163,Basic,2/25/2022,11/24/2023,TRUE,NULL,23,6,10/2/2022,,2/25/2022,11/24/2023
STU164,Free,null,null,FALSE,11/19/2024,31,8,12/17/2023,11/19/2024,,
STU165,Basic,6/19/2022,5/9/2022,TRUE,NULL,17,6,4/6/2022,,6/19/2022,5/9/2022
STU166,Free,null,null,FALSE,10/28/2024,37,8,6/30/2023,10/28/2024,,
STU167,Basic,1/2/2022,1/8/2022,TRUE,NULL,26,8,1/17/2022,,1/2/2022,1/8/2022
STU168,Free,null,null,FALSE,12/10/2024,27,6,2/10/2023,12/10/2024,,
STU169,Basic,4/12/2022,5/2/2023,TRUE,NULL,26,8,11/19/2022,,4/12/2022,5/2/2023
STU170,Free,null,null,FALSE,12/10/2024,42,8,12/9/2023,12/10/2024,,
STU171,Free,null,null,FALSE,11/11/2024,44,6,1/8/2023,11/11/2024,,
STU172,Premium,7/13/2022,8/4/2023,TRUE,NULL,44,8,6/28/2022,,7/13/2022,8/4/2023
STU173,Basic,4/27/2022,7/20/2022,TRUE,NULL,38,4,12/1/2022,,4/27/2022,7/20/2022
STU174,Premium,1/20/2022,2/19/2022,TRUE,NULL,17,9,5/1/2022,,1/20/2022,2/19/2022
STU175,Free,null,null,FALSE,11/27/2024,22,7,5/18/2023,11/27/2024,,
STU176,Basic,5/28/2022,3/1/2023,TRUE,NULL,24,6,5/13/2022,,5/28/2022,3/1/2023
STU177,Basic,3/2/2022,10/1/2023,TRUE,NULL,37,6,1/19/2022,,3/2/2022,10/1/2023
STU178,Premium,11/8/2023,5/12/2023,TRUE,NULL,39,7,7/27/2023,,11/8/2023,5/12/2023
STU179,Basic,7/31/2022,4/9/2022,TRUE,NULL,12,8,7/16/2022,,7/31/2022,4/9/2022
STU180,Free,null,null,FALSE,1/11/2024,44,9,8/22/2023,1/11/2024,,
STU181,Free,null,null,FALSE,8/24/2024,29,6,4/27/2023,8/24/2024,,
STU182,Premium,3/18/2022,null,FALSE,10/21/2024,3,3,3/22/2022,10/21/2024,3/18/2022,
STU183,Premium,7/31/2023,null,FALSE,11/24/2024,12,2,2/27/2022,11/24/2024,7/31/2023,
STU184,Free,null,null,FALSE,12/7/2024,21,7,7/29/2023,12/7/2024,,
STU185,Premium,7/10/2022,null,FALSE,12/8/2024,42,8,9/29/2022,12/8/2024,7/10/2022,
STU186,Free,null,null,FALSE,12/11/2024,15,8,2/6/2023,12/11/2024,,
STU187,Premium,3/12/2022,null,FALSE,12/10/2024,43,8,5/9/2022,12/10/2024,3/12/2022,
STU188,Premium,12/3/2022,null,FALSE,4/9/2024,43,8,3/10/2023,4/9/2024,12/3/2022,
STU189,Basic,10/21/2022,7/29/2023,TRUE,NULL,40,6,6/10/2022,,10/21/2022,7/29/2023
STU190,Basic,6/8/2022,3/15/2023,TRUE,NULL,30,9,7/22/2022,,6/8/2022,3/15/2023
STU191,Free,null,null,FALSE,4/9/2024,28,8,3/7/2023,4/9/2024,,
STU192,Premium,9/7/2022,null,FALSE,6/27/2024,23,9,11/1/2022,6/27/2024,9/7/2022,
STU193,Free,null,null,FALSE,3/11/2024,43,7,5/25/2023,3/11/2024,,
STU194,Free,null,null,FALSE,4/7/2024,33,8,5/30/2023,4/7/2024,,
STU195,Premium,10/26/2022,null,FALSE,7/27/2024,26,6,10/18/2022,7/27/2024,10/26/2022,
STU196,Free,null,null,FALSE,10/10/2024,37,9,1/27/2023,10/10/2024,,
STU197,Premium,9/7/2022,null,FALSE,11/14/2024,34,6,2/27/2023,11/14/2024,9/7/2022,
STU198,Basic,10/10/2023,null,FALSE,7/2/2024,20,7,3/10/2023,7/2/2024,10/10/2023,
STU199,Premium,11/23/2023,null,FALSE,9/10/2024,29,1,11/15/2023,9/10/2024,11/23/2023,
STU200,Free,null,null,FALSE,12/11/2024,33,6,4/30/2023,12/11/2024,,
STU201,Basic,5/19/2024,null,FALSE,11/15/2024,47,9,12/5/2024,11/15/2024,5/19/2024,
STU202,Free,null,null,FALSE,9/14/2024,47,8,9/8/2023,9/14/2024,,
STU203,Premium,12/3/2023,null,FALSE,7/13/2024,58,7,10/15/2023,7/13/2024,12/3/2023,
STU204,Free,null,null,FALSE,9/13/2024,68,9,7/22/2023,9/13/2024,,
STU205,Free,null,null,FALSE,2/12/2024,60,9,10/10/2023,2/12/2024,,
STU206,Free,null,null,FALSE,10/8/2024,77,7,1/5/2023,10/8/2024,,
STU207,Basic,4/30/2024,null,FALSE,10/27/2024,76,7,4/23/2024,10/27/2024,4/30/2024,
STU208,Premium,9/7/2022,null,FALSE,10/11/2024,61,6,9/21/2023,10/11/2024,9/7/2022,
STU209,Premium,1/30/2022,null,FALSE,9/26/2024,12,1,3/22/2022,9/26/2024,1/30/2022,
STU210,Premium,10/1/2023,null,FALSE,6/13/2024,46,4,10/12/2022,6/13/2024,10/1/2023,
STU211,Basic,10/15/2023,null,FALSE,12/4/2024,50,7,8/10/2023,12/4/2024,10/15/2023,
STU212,Basic,6/13/2024,null,FALSE,10/12/2024,67,6,6/6/2024,10/12/2024,6/13/2024,
STU213,Basic,1/12/2023,null,FALSE,5/29/2024,69,1,11/24/2023,5/29/2024,1/12/2023,
STU214,Free,null,null,FALSE,11/10/2024,54,7,4/9/2023,11/10/2024,,
STU215,Premium,2/17/2022,null,FALSE,6/16/2024,76,8,9/2/2022,6/16/2024,2/17/2022,
STU216,Free,null,null,FALSE,9/13/2024,47,8,5/10/2023,9/13/2024,,
STU217,Free,null,null,FALSE,5/10/2024,75,7,11/12/2023,5/10/2024,,
STU218,Free,null,null,FALSE,8/22/2024,61,9,6/19/2023,8/22/2024,,
STU219,Free,null,null,FALSE,2/12/2024,70,8,6/8/2022,2/12/2024,,
STU220,Basic,12/21/2023,null,FALSE,6/18/2024,65,7,12/14/2023,6/18/2024,12/21/2023,
STU221,Free,null,null,FALSE,2/7/2024,49,7,6/28/2022,2/7/2024,,
STU222,Basic,10/12/2023,null,FALSE,7/6/2024,54,1,3/12/2023,7/6/2024,10/12/2023,
STU223,Free,null,null,FALSE,12/6/2024,59,8,9/8/2022,12/6/2024,,
STU224,Free,null,null,FALSE,9/29/2024,57,8,11/17/2022,9/29/2024,,
STU225,Free,null,null,FALSE,5/7/2024,68,6,10/22/2022,5/7/2024,,
STU226,Free,null,null,FALSE,10/15/2024,60,9,1/8/2022,10/15/2024,,
STU227,Free,null,null,FALSE,8/25/2024,65,7,3/15/2022,8/25/2024,,
STU228,Free,null,null,FALSE,7/29/2024,55,6,1/15/2022,7/29/2024,,
STU229,Premium,1/11/2023,null,FALSE,9/27/2024,57,3,10/12/2023,9/27/2024,1/11/2023,
STU230,Basic,9/1/2024,null,FALSE,7/7/2024,56,4,2/1/2024,7/7/2024,9/1/2024,
STU231,Free,null,null,FALSE,8/10/2024,74,6,12/18/2022,8/10/2024,,
STU232,Free,null,null,FALSE,11/11/2024,48,7,1/30/2022,11/11/2024,,
STU233,Free,null,null,FALSE,9/19/2024,53,8,11/17/2022,9/19/2024,,
STU234,Free,null,null,FALSE,10/23/2024,59,6,10/10/2022,10/23/2024,,
STU235,Basic,4/17/2024,null,FALSE,10/14/2024,60,8,10/4/2024,10/14/2024,4/17/2024,
STU236,Basic,5/25/2024,null,FALSE,11/21/2024,61,9,5/18/2024,11/21/2024,5/25/2024,
STU237,Basic,2/7/2024,null,FALSE,1/11/2024,69,7,6/25/2024,1/11/2024,2/7/2024,
STU238,Free,null,null,FALSE,9/15/2024,67,7,6/23/2022,9/15/2024,,
STU239,Free,null,null,FALSE,10/7/2024,52,9,11/1/2022,10/7/2024,,
STU240,Free,null,null,FALSE,11/6/2024,62,8,10/30/2022,11/6/2024,,
STU241,Premium,7/11/2022,null,FALSE,5/8/2024,51,8,10/9/2023,5/8/2024,7/11/2022,
STU242,Basic,10/2/2024,null,FALSE,11/6/2024,53,8,3/2/2024,11/6/2024,10/2/2024,
STU243,Free,null,null,FALSE,11/13/2024,63,7,2/26/2022,11/13/2024,,
STU244,Free,null,null,FALSE,1/7/2024,76,5,12/19/2022,1/7/2024,,
STU245,Basic,7/25/2024,null,FALSE,11/24/2024,54,1,7/18/2024,11/24/2024,7/25/2024,
STU246,Free,null,null,FALSE,4/7/2024,61,3,3/14/2022,4/7/2024,,
STU247,Free,null,null,FALSE,9/14/2024,61,7,6/5/2022,9/14/2024,,
STU248,Premium,3/31/2023,null,FALSE,10/16/2024,62,7,3/23/2023,10/16/2024,3/31/2023,
STU249,Premium,9/5/2023,null,FALSE,6/17/2024,48,7,9/10/2023,6/17/2024,9/5/2023,
STU250,Premium,6/15/2022,null,FALSE,11/7/2024,57,6,7/14/2022,11/7/2024,6/15/2022,
STU251,Free,null,null,FALSE,1/7/2024,68,8,8/14/2022,1/7/2024,,
STU252,Free,null,null,FALSE,8/27/2024,47,9,8/4/2022,8/27/2024,,
STU253,Premium,8/25/2022,null,FALSE,9/10/2024,49,7,6/26/2022,9/10/2024,8/25/2022,
STU254,Free,null,null,FALSE,7/11/2024,61,6,11/22/2022,7/11/2024,,
STU255,Premium,4/4/2022,null,FALSE,8/31/2024,75,7,3/8/2023,8/31/2024,4/4/2022,
STU256,Free,null,null,FALSE,8/9/2024,75,9,6/24/2022,8/9/2024,,
STU257,Premium,8/21/2022,null,FALSE,8/15/2024,77,6,8/13/2022,8/15/2024,8/21/2022,
STU258,Free,null,null,FALSE,9/26/2024,63,7,8/23/2022,9/26/2024,,
STU259,Premium,6/29/2022,null,FALSE,6/13/2024,51,3,6/21/2022,6/13/2024,6/29/2022,
STU260,Premium,3/26/2023,null,FALSE,7/16/2024,56,7,9/22/2023,7/16/2024,3/26/2023,
